time,count
2017-11-24-03:19:0,2689
2017-11-24-03:20:0,3351
2017-11-24-03:21:0,2785
2017-11-24-03:22:0,2739
2017-11-24-03:23:0,3319
2017-11-24-03:24:0,2633
2017-11-24-03:25:0,2802
2017-11-24-03:26:0,3379
2017-11-24-03:27:0,3550
2017-11-24-03:28:0,3836
2017-11-24-03:29:0,2471
2017-11-24-03:30:0,2497
2017-11-24-03:31:0,3111
2017-11-24-03:32:0,2467
2017-11-24-03:33:0,2527
2017-11-24-03:34:0,3166
2017-11-24-03:35:0,2963
2017-11-24-03:36:0,3299
2017-11-24-03:37:0,2587
2017-11-24-03:38:0,3158
2017-11-24-03:39:0,3394
2017-11-24-03:40:0,3560
2017-11-24-03:41:0,2941
2017-11-24-03:42:0,3373
2017-11-24-03:43:0,2979
2017-11-24-03:44:0,2010
2017-11-24-03:45:0,3971
2017-11-24-03:46:0,3259
2017-11-24-03:47:0,2505
2017-11-24-03:48:0,2866
2017-11-24-03:49:0,3399
2017-11-24-03:50:0,3033
2017-11-24-03:51:0,2944
2017-11-24-03:52:0,3174
2017-11-24-03:53:0,3468
2017-11-24-03:54:0,3168
2017-11-24-03:55:0,3077
2017-11-24-03:56:0,3315
2017-11-24-03:57:0,3676
2017-11-24-03:58:0,3009
2017-11-24-03:59:0,2822
2017-11-24-04:00:0,3588
2017-11-24-04:01:0,3186
2017-11-24-04:02:0,3203
2017-11-24-04:03:0,3105
2017-11-24-04:04:0,3238
2017-11-24-04:05:0,2418
2017-11-24-04:06:0,3196
2017-11-24-04:07:0,3168
2017-11-24-04:08:0,2670
2017-11-24-04:09:0,2756
2017-11-24-04:10:0,2904
2017-11-24-04:11:0,3637
2017-11-24-04:12:0,2761
2017-11-24-04:13:0,4449
2017-11-24-04:14:0,3864
2017-11-24-04:15:0,3398
2017-11-24-04:16:0,3476
2017-11-24-04:17:0,2845
2017-11-24-04:18:0,3524
2017-11-24-04:19:0,2918
2017-11-24-04:20:0,3193
2017-11-24-04:21:0,3012
2017-11-24-04:22:0,2989
2017-11-24-04:23:0,4158
2017-11-24-04:24:0,3807
2017-11-24-04:25:0,3911
2017-11-24-04:26:0,4059
2017-11-24-04:27:0,3553
2017-11-24-04:28:0,3737
2017-11-24-04:29:0,4026
2017-11-24-04:30:0,3689
2017-11-24-04:31:0,4093
2017-11-24-04:32:0,3345
2017-11-24-04:33:0,4345
2017-11-24-04:34:0,3911
2017-11-24-04:35:0,3443
2017-11-24-04:36:0,4010
2017-11-24-04:37:0,3413
2017-11-24-04:38:0,3022
2017-11-24-04:39:0,3860
2017-11-24-04:40:0,3510
2017-11-24-04:41:0,3659
2017-11-24-04:42:0,3794
2017-11-24-04:43:0,3076
2017-11-24-04:44:0,3474
2017-11-24-04:45:0,3041
2017-11-24-04:46:0,4029
2017-11-24-04:47:0,4052
2017-11-24-04:48:0,3899
2017-11-24-04:49:0,4405
2017-11-24-04:50:0,4325
2017-11-24-04:51:0,5013
2017-11-24-04:52:0,3837
2017-11-24-04:53:0,3666
2017-11-24-04:54:0,4634
2017-11-24-04:55:0,3695
2017-11-24-04:56:0,4523
2017-11-24-04:57:0,4150
2017-11-24-04:58:0,4368
2017-11-24-04:59:0,3896
2017-11-24-05:00:0,5072
2017-11-24-05:01:0,4772
2017-11-24-05:02:0,4573
2017-11-24-05:03:0,4383
2017-11-24-05:04:0,4978
2017-11-24-05:05:0,5040
2017-11-24-05:06:0,4375
2017-11-24-05:07:0,5734
2017-11-24-05:08:0,5538
2017-11-24-05:09:0,5745
2017-11-24-05:10:0,5689
2017-11-24-05:11:0,4830
